David Ozoh, MID
Mark O’Mahony, FWD
Cole Palmer, MID
Jonathan Panzo, DEF
Stefan Parkes, DEF
Ben Parkinson, FWD
Troy Parrott, FWD
Thomas Partey, MID
Maksim Paskotsi, DEF
Travis Patterson, MID
Bailey Peacock-Farrell, GK
Ben Pearson, MID
Myles Peart-Harris, MID
Sydie Peck, MID
Pedro Neto, FWD
Facundo Pellistri, MID
Nicolas Pépé, FWD
Aribim Pepple, FWD
Dion Pereira, MID
Ivan Perisic, MID
Máximo Perrone, MID
Djordje Petrovic, GK
Casey Pettit, MID
Cameron Peupion, MID
Philippe Coutinho, MID
Killian Phillips, MID
Jaden Philogene, MID
Jordan Pickford, GK
Axel Piesold, MID
Ethan Pinnock, DEF
Cameron Plain, GK
Luke Plange, FWD
Euan Pollock, FWD
Alfie Pond, DEF
Nick Pope, GK
Pedro Porro, DEF
Dan Potts, DEF
Josh Powell, MID
Aaron Pressley, FWD
Isaac Price, MID
Sam Proctor, GK
Christian Pulisic, MID
Logan Pye, MID
Jarell Quansah, DEF
Andrei Radu, GK
Jesurun Rak-Sakyi, MID
Calvin Ramsay, DEF
Aaron Ramsdale, GK
Jacob Ramsey, MID
Darren Randolph, GK
Marcus Rashford, FWD
David Raya, GK
Jadan Raymond, MID
Glen Rea, MID
Tim Ream, DEF
Nathan Redmond, MID
Harrison Reed, MID
Sergio Reguilón, DEF
Renan Lodi, DEF
Sebastian Revan, DEF
Giovanni Reyna, MID
Declan Rice, MID
Dujuan Richards, FWD
Richarlison, FWD
Jairo Riedewald, MID
Matt Ritchie, MID
Roberto Firmino, FWD
Haydon Roberts, DEF
Andy Robertson, DEF
Antonee Robinson, DEF
Max Robson, MID
Marek Rodák, GK
Kaden Rodney, MID
Joe Rodon, DEF
Rodri, MID
Rodrigo Muniz, FWD
Rodrigo Ribeiro, FWD
Jay Rodríguez, FWD
Mads Roerslev, DEF
Morgan Rogers, FWD
Cristian Romero, DEF
Joe Rothwell, MID
Rúben Dias, DEF
Rúben Neves, MID
Rúben Vinagre, DEF
Rúnar Rúnarsson, GK
Carl Rushworth, GK
Marcel Sabitzer, MID
Sai Sachdev, DEF
Dominic Sadi, MID
Charles Sagoe Jr, FWD
Allan Saint-Maximin, FWD
Bukayo Saka, FWD
William Saliba, DEF
Albert Sambi Lokonga, MID
Imari Samuels, DEF
Ishé Samuels-Smith, DEF
Robert Sánchez, GK
Jadon Sancho, FWD
Dion Sanderson, DEF
Ibrahim Sangaré, MID
Morgan Sanson, MID
Yago Santiago, FWD
Pablo Sarabia, MID
Matija Sarkic, GK
Jeremy Sarmiento, FWD
Malang Sarr, DEF
Dovydas Sasnauskas, DEF
Dan Sassi, DEF
Charlie Savage, MID
Charlie Sayers, DEF
Gianluca Scamacca, FWD
Calum Scanlon, DEF
Oliver Scarles, MID
Dane Scarlett, FWD
Kevin Schade, MID
Fabian Schär, DEF
Kjell Scherpen, GK
Jeffrey Schlupp, MID
Alex Scott, MID
Kristian Sekularac, MID
Matz Sels, GK
Antoine Semenyo, FWD
Marcos Senesi, DEF
Femi Seriki, DEF
Steven Sessegnon, DEF
Teddy Sharman-Lowe, GK
Luke Shaw, DEF
James Shea, GK
George Shelvey, GK
Shola Shoretire, FWD
Ellis Simms, FWD
Kamarai Simon-Swyer, MID
Viljami Sinisalo, GK
Luis Sinisterra, FWD
Oliver Skipp, MID
Gabriel Slonina, GK
Matt Smith, MID
Emile Smith Rowe, MID
Dominic Solanke, FWD
Manor Solomon, FWD
Son Heung-Min, FWD
Tomás Soucek, MID
Lino Sousa, DEF
Djed Spence, DEF
Jack Stacey, DEF
Junior Stanislas, MID
Jay Stansfield, FWD
Joseph Starbuck, DEF
Jason Steele, GK
Jed Steer, GK
Zack Steffen, GK
Jack Stephens, DEF
Raheem Sterling, FWD
Finley Stevens, DEF
Layton Stewart, FWD
John Stones, DEF
Thomas Strakosha, GK
Zak Sturge, DEF
Ronnie Stutter, FWD
Sam Surridge, FWD
Mahamadou Susoho, MID
James Sweet, DEF
Sil Swinkels, DEF
Dominik Szoboszlai, MID
Japhet Tanganga, DEF
